ISBN-10,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,Published Date,Publisher,No. of Pages,Product URL
9.78E+12,No One Left To Tell (The Baltimore Series Book 2),Karen Rose,ePUB,$11.99,$11.99,05-01-2012,Headline,451,https://www.booktopia.com.au/no-one-left-to-tell-the-baltimore-series-book-2--karen-rose/ebook/9780755373970.html
9.78E+12,The Snow Child,Eowyn Ivey,ePUB,$12.99,$12.99,01-02-2012,Headline,318,https://www.booktopia.com.au/the-snow-child-eowyn-ivey/ebook/9780755380558.html
9.78E+12,The Hunger Games (USA Edition),Suzanne Collins,Hardcover,$40.75,$40.75,01-10-2008,Scholastic US,384,https://www.booktopia.com.au/the-hunger-games-usa-edition--suzanne-collins/book/9780439023481.html
9.78E+12,Made Things,Adrian Tchaikovsky,ePUB,$6.22,$5.99,05-11-2019,Tor Publishing Group,,https://www.booktopia.com.au/made-things-adrian-tchaikovsky/ebook/9781250232984.html
9.78E+12,Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,ePUB,$12.99,$12.99,01-05-2008,Penguin Random House Children's UK,288,https://www.booktopia.com.au/percy-jackson-and-the-sea-of-monsters-book-2--rick-riordan/ebook/9780141926902.html
9.78E+12,Conversations with Friends,Sally Rooney,ePUB,$16.49,$14.99,25-05-2017,Faber & Faber,272,https://www.booktopia.com.au/conversations-with-friends-sally-rooney/ebook/9780571333141.html
9.78E+12,Strata,Terry Pratchett,ePUB,$14.99,$14.99,24-11-2009,Transworld,288,https://www.booktopia.com.au/strata-terry-pratchett/ebook/9781407035536.html
9.78E+12,Misbehaving,Richard H. Thaler,ePUB,$16.99,$16.99,07-05-2015,Penguin Books Ltd,256,https://www.booktopia.com.au/misbehaving-richard-h-thaler/ebook/9780141966151.html
9.78E+12,My East End,Gilda O'Neill,ePUB,$15.99,$15.99,28-09-2000,Penguin Books Ltd,384,https://www.booktopia.com.au/my-east-end-gilda-o-neill/ebook/9780141929385.html
9.78E+12,The Promise,Lesley Pearse,ePUB,$15.99,$15.99,19-01-2012,Penguin Books Ltd,528,https://www.booktopia.com.au/the-promise-lesley-pearse/ebook/9780141964089.html
9.78E+12,Artemis Fowl and The Arctic Incident,Eoin Colfer,ePUB,$9.99,$9.99,06-06-2002,Penguin Random House Children's UK,336,https://www.booktopia.com.au/artemis-fowl-and-the-arctic-incident-eoin-colfer/ebook/9780141929576.html
